SOrg,Plnt,Name_1,SLoc,Description,Material,Material_Description,Profl,Serial_Number,PP,Equipment,Pstng_Date,Total,Serials,BUn,key_plant,key_material
8750,8790,Hilti TS Plant,8723,8790-8723,211895,Angle grinder DAG 115-S 230V,Z001,140,1,300025831642,2008-11-03,0,60,PC,8790/211895,8750/211895
8750,8790,Hilti TS Plant,8723,8790-8723,211895,Angle grinder DAG 115-S 230V,Z001,139,1,300025831641,2008-11-03,0,60,PC,8790/211895,8750/211895
8750,8790,Hilti TS Plant,8723,8790-8723,211895,Angle grinder DAG 115-S 230V,Z001,138,1,300025831640,2008-11-03,0,60,PC,8790/211895,8750/211895
8750,8790,Hilti TS Plant,8723,8790-8723,211895,Angle grinder DAG 115-S 230V,Z001,137,1,300025831639,2008-11-03,0,60,PC,8790/211895,8750/211895
8750,8790,Hilti TS Plant,8723,8790-8723,211895,Angle grinder DAG 115-S 230V,Z001,136,1,300025831638,2008-11-03,0,60,PC,8790/211895,8750/211895
8750,8790,Hilti TS Plant,8723,8790-8723,211895,Angle grinder DAG 115-S 230V,Z001,135,1,300025831637,2008-11-03,0,60,PC,8790/211895,8750/211895
8750,8790,Hilti TS Plant,8723,8790-8723,211895,Angle grinder DAG 115-S 230V,Z001,134,1,300025831636,2008-11-03,0,60,PC,8790/211895,8750/211895
8750,8790,Hilti TS Plant,8723,8790-8723,218105,Battery charger TCU 12-H 115V,Z001,763432,1,300027153089,2009-03-26,0,2,PC,8790/218105,8750/218105
8750,8790,Hilti TS Plant,8723,8790-8723,218105,Battery charger TCU 12-H 115V,Z001,1122010,1,300033220988,2010-12-01,0,2,PC,8790/218105,8750/218105
8750,8790,Hilti TS Plant,8723,8790-8723,227941,Cordl. drill driver SF 151-A 3.0 230V,Z001,928,1,300024340279,2008-06-12,0,5,PC,8790/227941,8750/227941
8750,8790,Hilti TS Plant,8723,8790-8723,227941,Cordl. drill driver SF 151-A 3.0 230V,Z001,1029,1,300024340280,2008-06-12,0,5,PC,8790/227941,8750/227941
8750,8790,Hilti TS Plant,8723,8790-8723,227941,Cordl. drill driver SF 151-A 3.0 230V,Z001,2526,1,300024340281,2008-06-12,0,5,PC,8790/227941,8750/227941
8750,8790,Hilti TS Plant,8723,8790-8723,227941,Cordl. drill driver SF 151-A 3.0 230V,Z001,22222,1,300030262711,2010-03-05,0,5,PC,8790/227941,8750/227941
8750,8790,Hilti TS Plant,8723,8790-8723,227941,Cordl. drill driver SF 151-A 3.0 230V,Z001,4352638,1,300026401838,2008-12-19,0,5,PC,8790/227941,8750/227941
8750,8790,Hilti TS Plant,8723,8790-8723,228195,Battery pack B 36 2.4 NiCd,Z001,315044,1,300072127558,2018-04-06,0,1,PC,8790/228195,8750/228195
8750,8790,Hilti TS Plant,8723,8790-8723,235899,Battery pack RB 10,Z001,1122010,1,300033220989,2010-12-01,0,4,PC,8790/235899,8750/235899
8750,8790,Hilti TS Plant,8723,8790-8723,235899,Battery pack RB 10,Z001,12321,1,300032869628,2010-11-01,0,4,PC,8790/235899,8750/235899
8750,8790,Hilti TS Plant,8723,8790-8723,235899,Battery pack RB 10,Z001,11101,1,300027153090,2009-03-26,0,4,PC,8790/235899,8750/235899
8750,8790,Hilti TS Plant,8723,8790-8723,235899,Battery pack RB 10,Z001,321,1,300032054959,2010-09-01,0,4,PC,8790/235899,8750/235899
8750,8790,Hilti TS Plant,8723,8790-8723,236322,Orbital recip. saw WSR 900-PE 220V,Z001,1,1,300025209212,2008-11-03,0,1,PC,8790/236322,8750/236322
8750,8790,Hilti TS Plant,8723,8790-8723,236632,Drywall screwdriver SD 5000 220V,Z001,357537,1,300026388903,2008-12-18,0,2,PC,8790/236632,8750/236632
8750,8790,Hilti TS Plant,8723,8790-8723,236632,Drywall screwdriver SD 5000 220V,Z001,2313232,1,300027811498,2009-06-11,0,2,PC,8790/236632,8750/236632
8750,8790,Hilti TS Plant,8723,8790-8723,255156,Breaker TE 805 240V,Z001,12,1,300025037987,2008-08-11,0,9,PC,8790/255156,8750/255156
8750,8790,Hilti TS Plant,8723,8790-8723,255156,Breaker TE 805 240V,Z001,13,1,300025037988,2008-08-11,0,9,PC,8790/255156,8750/255156
8750,8790,Hilti TS Plant,8723,8790-8723,255156,Breaker TE 805 240V,Z001,14,1,300025037989,2008-08-11,0,9,PC,8790/255156,8750/255156
8750,8790,Hilti TS Plant,8723,8790-8723,255156,Breaker TE 805 240V,Z001,15,1,300025037990,2008-08-11,0,9,PC,8790/255156,8750/255156
8750,8790,Hilti TS Plant,8723,8790-8723,255156,Breaker TE 805 240V,Z001,16,1,300025037991,2008-08-11,0,9,PC,8790/255156,8750/255156
8750,8790,Hilti TS Plant,8723,8790-8723,255156,Breaker TE 805 240V,Z001,17,1,300025037992,2008-08-11,0,9,PC,8790/255156,8750/255156
8750,8790,Hilti TS Plant,8723,8790-8723,255156,Breaker TE 805 240V,Z001,18,1,300025037993,2008-08-11,0,9,PC,8790/255156,8750/255156
8750,8790,Hilti TS Plant,8723,8790-8723,255156,Breaker TE 805 240V,Z001,19,1,300025037994,2008-08-11,0,9,PC,8790/255156,8750/255156
8750,8790,Hilti TS Plant,8723,8790-8723,255156,Breaker TE 805 240V,Z001,74,1,300025037995,2008-08-11,0,9,PC,8790/255156,8750/255156
8750,8790,Hilti TS Plant,8723,8790-8723,271911,Rotary hammer TE 6-S 220V case,Z001,1346,1,300025529571,2008-09-26,0,1,PC,8790/271911,8750/271911
8750,8790,Hilti TS Plant,8723,8790-8723,271953,Rotary hammer TE 2 220V case,Z001,1146819.,1,300050696278,2014-09-23,2,4,PC,8790/271953,8750/271953
8750,8790,Hilti TS Plant,8723,8790-8723,271953,Rotary hammer TE 2 220V case,Z001,1492918,1,300104631221,2023-10-19,2,4,PC,8790/271953,8750/271953
8750,8790,Hilti TS Plant,8723,8790-8723,271953,Rotary hammer TE 2 220V case,Z001,1085818,1,300035484100,2011-12-14,2,4,PC,8790/271953,8750/271953
8750,8790,Hilti TS Plant,8723,8790-8723,271953,Rotary hammer TE 2 220V case,Z001,149214,1,300111000471,2023-10-05,2,4,PC,8790/271953,8750/271953
8750,8790,Hilti TS Plant,8723,8790-8723,272936,Battery charger C 4/36 Li-Ion 230V,Z001,2057709,1,300035075101,2012-03-22,0,3,PC,8790/272936,8750/272936
8750,8790,Hilti TS Plant,8723,8790-8723,272936,Battery charger C 4/36 Li-Ion 230V,Z001,2080718,1,300038817822,2012-03-02,0,3,PC,8790/272936,8750/272936
8750,8790,Hilti TS Plant,8723,8790-8723,272936,Battery charger C 4/36 Li-Ion 230V,Z001,2151536,1,300042539623,2013-04-15,0,3,PC,8790/272936,8750/272936
8750,8790,Hilti TS Plant,8723,8790-8723,273114,Battery pack B 144 2.6 Li-Ion,Z001,3306251,1,300036682324,2012-07-19,0,3,PC,8790/273114,8750/273114
8750,8790,Hilti TS Plant,8723,8790-8723,273114,Battery pack B 144 2.6 Li-Ion,Z001,3306253,1,300036682326,2012-07-19,0,3,PC,8790/273114,8750/273114
8750,8790,Hilti TS Plant,8723,8790-8723,273114,Battery pack B 144 2.6 Li-Ion,Z001,3315308,1,300038817821,2012-03-02,0,3,PC,8790/273114,8750/273114
8750,8790,Hilti TS Plant,8723,8790-8723,285358,Cordless screwdriver SF 121-A 2.0 230V,Z001,1111,1,300030116754,2010-03-05,0,2,PC,8790/285358,8750/285358
8750,8790,Hilti TS Plant,8723,8790-8723,285358,Cordless screwdriver SF 121-A 2.0 230V,Z001,1105415,1,300024399199,2008-07-18,0,2,PC,8790/285358,8750/285358
8750,8790,Hilti TS Plant,8723,8790-8723,286135,Point laser PMP 34 box,Z001,2100823,1,300026401836,2008-12-19,0,1,PC,8790/286135,8750/286135
8750,8790,Hilti TS Plant,8723,8790-8723,290211,Cordl. ham. dr. driver SFH 22-A case,Z001,7533505,1,300067530356,2017-08-16,0,1,PC,8790/290211,8750/290211
8750,8790,Hilti TS Plant,8723,8790-8723,305534,Drilling stand DD-HD 30,Z001,14013,1,300013115278,2008-12-18,0,1,PC,8790/305534,8750/305534
8750,8790,Hilti TS Plant,8723,8790-8723,331112,Hammer drill UH 700 220V,Z001,47580,1,300024720510,2008-10-02,0,1,PC,8790/331112,8750/331112
8750,8790,Hilti TS Plant,8723,8790-8723,332159,Vacuum pump DD VPX 230V CH,Z001,8,1,300025887822,2008-11-03,0,1,PC,8790/332159,8750/332159
