ShPt,Plnt,SLoc,Delivery,Material,Item_Description,DlvQty,BUn,Supplier_Name,OPS,WM,GM,Delivdate,key_plant,key_material
3000,3000,1,681134325,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134326,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134327,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134328,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134329,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134330,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134331,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134332,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134333,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134334,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134335,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134336,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134337,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134338,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
