Material|Material_Description|SLoc|SL|Plnt|BUn|Unrestricted|Transit_Transf|Blocked|In_Qual_Insp|Restricted_Use|Returns|Stk_in_Transit|Sorg|key_material
17973|Grooved ball bear. 10X26X8|50.0|nan|8326|PC|5.0|0|0|0|0|0|0|8300|8300/17973
17973|Grooved ball bear. 10X26X8|2.0|nan|8335|PC|1.0|0|0|0|0|0|0|8300|8300/17973
17973|Grooved ball bear. 10X26X8|2500.0|nan|8335|PC|10.0|0|0|0|0|0|0|8300|8300/17973
17973|Grooved ball bear. 10X26X8|2500.0|nan|8678|PC|4.0|0|0|0|0|0|0|8650|8650/17973
17973|Grooved ball bear. 10X26X8|4500.0|nan|8678|PC|4.0|0|0|0|0|0|0|8650|8650/17973
17973|Grooved ball bear. 10X26X8|2500.0|nan|8770|PC|4.0|0|0|0|0|0|0|8750|8750/17973
17973|Grooved ball bear. 10X26X8|4500.0|nan|8770|PC|2.0|0|0|0|0|0|0|8750|8750/17973
20039|Threaded stud HDC 20|1.0|nan|8650|PC|300.0|0|0|0|0|0|0|8650|8650/20039
20039|Threaded stud HDC 20|1.0|nan|8663|PC|50.0|0|0|0|0|0|0|8650|8650/20039
20040|Threaded stud HDB 27|1.0|nan|8650|PC|100.0|0|0|0|0|0|0|8650|8650/20040
20042|Knurled nut HDD|1.0|nan|8650|PC|20.0|0|0|0|0|0|0|8650|8650/20042
23096|Compression spring 0,8X8,95X42|nan|nan|3000|PC|0.0|10|0|0|0|0|10|3000|3000/23096
23108|Regulating wheel|6000.0|nan|8678|PC|1.0|0|0|0|0|0|0|8650|8650/23108
23131|Catch|6000.0|nan|8678|PC|1.0|0|0|0|0|0|0|8650|8650/23131
23156|Deflection spring|6000.0|nan|3070|PC|4.0|0|0|0|0|0|0|3000|3000/23156
23156|Deflection spring|6000.0|nan|8678|PC|2.0|0|0|0|0|0|0|8650|8650/23156
23201|Compression spring 0,8X5,8X28|6000.0|nan|8678|PC|1.0|0|0|0|0|0|0|8650|8650/23201
23209|Hex skt hd cap screw M6X120 mc|4500.0|nan|3070|PC|4.0|0|0|0|0|0|0|3000|3000/23209
24018|Mixer TE 22|1.0|nan|3016|PC|2.0|0|0|0|0|0|0|3000|3000/24018
24631|Cleaner CFR1 500ML|1.0|nan|3000|PC|5.0|0|50|0|0|0|0|3000|3000/24631
24631|Cleaner CFR1 500ML|1.0|nan|8330|PC|152.0|0|0|0|0|0|0|8300|8300/24631
24631|Cleaner CFR1 500ML|1.0|nan|8650|PC|15.0|0|0|0|0|0|0|8650|8650/24631
24669|Dispenser CS 270-P1|1.0|nan|3000|PC|21.0|0|0|0|0|0|0|3000|3000/24669
24669|Dispenser CS 270-P1|1.0|nan|3022|PC|1.0|0|0|0|0|0|0|3000|3000/24669
24669|Dispenser CS 270-P1|1.0|nan|8330|PC|15.0|0|0|0|0|0|0|8300|8300/24669
24669|Dispenser CS 270-P1|1.0|nan|8650|PC|2.0|0|0|0|0|0|0|8650|8650/24669
24669|Dispenser CS 270-P1|1.0|nan|8750|PC|2.0|0|0|0|0|0|0|8750|8750/24669
24806|Adhesive CA-CG KW.B.3400|1.0|nan|8330|PC|5267.0|0|0|0|0|0|0|8300|8300/24806
24806|Adhesive CA-CG KW.B.3400|1.0|nan|8342|PC|0.0|0|50|0|0|0|0|8300|8300/24806
26010|Piston pin|1.0|nan|3000|PC|4.0|0|0|0|0|0|0|3000|3000/26010
26010|Piston pin|2500.0|nan|3070|PC|20.0|0|0|0|0|0|0|3000|3000/26010
