13.09.2024                                         Dynamic List Display                                                                                                  1


	SOrg.	Plnt	Name 1	SLoc	Description	Material	Material Description	Profl.	Serial Number		PP	Equipment	Pstng Date	Total	Serials	BUn
	3000	3090	Hilti TS Mexico	0106	3090-0106	228085	Rotary hammer TE 2 120V case	Z001	981398		01	300029221562	25.02.2010		     1	PC
	3000	3090	Hilti TS Mexico	0106	3090-0106	228111	Rotary hammer TE 2-M 120V case	Z001	307454		01	300034422924	05.03.2013		     1	PC
	3000	3090	Hilti TS Mexico	0106	3090-0106	244277	Cordl. drill driver SF 144-A Li-Ion	Z001	1118668		01	300033111237	22.11.2010		     1	PC
	3000	3090	Hilti TS Mexico	0106	3090-0106	248739	Breaker TE 1000-AVR 120V	Z001	156333		01	300044613878	26.11.2013		     1	PC
	3000	3090	Hilti TS Mexico	0106	3090-0106	267579	Angle grinder DAG 451-S 120V box	Z001	791000619		01	300024386075	19.06.2008		     1	PC
	3000	3090	Hilti TS Mexico	0106	3090-0106	272441	Battery charger C 4/36-ACS Li-Ion 115V	Z001	8021178		01	300044514557	10.06.2013		     2	PC
	3000	3090	Hilti TS Mexico	0106	3090-0106	272441	Battery charger C 4/36-ACS Li-Ion 115V	Z001	8001293		01	300028484493	25.02.2010		     2	PC
	3000	3090	Hilti TS Mexico	0106	3090-0106	272833	Cordl. imp. wrench SIW 144-A	Z001	806087		01	300033111236	22.11.2010		     2	PC
	3000	3090	Hilti TS Mexico	0106	3090-0106	272833	Cordl. imp. wrench SIW 144-A	Z001	1124677		01	300037005592	05.03.2013		     2	PC
	3000	3090	Hilti TS Mexico	0106	3090-0106	273114	Battery pack B 144 2.6 Li-Ion	Z001	2069836		01	300030173025	25.02.2010		     3	PC
	3000	3090	Hilti TS Mexico	0106	3090-0106	273114	Battery pack B 144 2.6 Li-Ion	Z001	3154601		01	300032358720	23.09.2010		     3	PC
	3000	3090	Hilti TS Mexico	0106	3090-0106	273114	Battery pack B 144 2.6 Li-Ion	Z001	S.N.N		01	300023242971	10.06.2010		     3	PC
	3000	3090	Hilti TS Mexico	0106	3090-0106	273643	Combihammer TE 70-ATC 120V	Z001	144392		01	300042419222	11.02.2013		     1	PC
	3000	3090	Hilti TS Mexico	0106	3090-0106	273758	Drill UD 30 120V	Z001	89703		01	300043919305	23.04.2014		     1	PC
	3000	3090	Hilti TS Mexico	0106	3090-0106	274719	Breaker TE 500-AVR 120V	Z001	31718		01	300030173131	25.02.2010		     1	PC
	3000	3090	Hilti TS Mexico	0106	3090-0106	282373	Laser range meter PD 30	Z001	3007400		01	300021671982	01.11.2007		     2	PC
	3000	3090	Hilti TS Mexico	0106	3090-0106	282373	Laser range meter PD 30	Z001	22604070		01	300021762086	12.11.2007		     2	PC
	3000	3090	Hilti TS Mexico	0106	3090-0106	284778	Breaker TE 706-AVR 120V	Z001	82056		01	300030170705	25.02.2010		     4	PC
	3000	3090	Hilti TS Mexico	0106	3090-0106	284778	Breaker TE 706-AVR 120V	Z001	82987		01	300030173017	25.02.2010		     4	PC
	3000	3090	Hilti TS Mexico	0106	3090-0106	284778	Breaker TE 706-AVR 120V	Z001	89868		01	300030173018	25.02.2010		     4	PC
