
	Material	Material Description	SLoc	SL	Plnt	BUn	   Unrestricted	Transit/Transf.	        Blocked	 In Qual. Insp.	 Restricted-Use	        Returns	 Stk in Transit
	250642	Drive cylinder	0002		3000	PC	             2	             0	             0	             0	             0	             0	             0
	251532	Slit breaker DC-ST-E	0001		3000	PC	             5	             0	             0	             0	             0	             0	             0
	251830	Jack screw DD-CS M12S-SM	0001		8750	PC	            13	             0	             0	             0	             0	             0	             0
	251831	Jack screw DD-CS M12L-SM	0001		8750	PC	             1	             0	             0	             0	             0	             0	             0
	251834	Quick-locking nut DD-CN-SML	0001		3000	PC	             8	             0	             0	             0	             0	             0	             0
	251834	Quick-locking nut DD-CN-SML	0001		3002	PC	             1	             0	             0	             0	             0	             0	             0
	251834	Quick-locking nut DD-CN-SML	0001		3014	PC	             1	             0	             0	             0	             0	             0	             0
	251834	Quick-locking nut DD-CN-SML	0001		3016	PC	             1	             0	             0	             0	             0	             0	             0
	251834	Quick-locking nut DD-CN-SML	0001		3018	PC	             2	             0	             0	             0	             0	             0	             0
	251834	Quick-locking nut DD-CN-SML	0001		8750	PC	             9	             0	             0	             0	             0	             0	             0
	254684	Pipe X-PT 3FT	0001		8750	PC	             1	             0	             0	             0	             0	             0	             0
	254687	Grip section X-PT assy	0001		8750	PC	             1	             0	             0	             0	             0	             0	             0
	259271	Cleaning kit DX	0001		3000	PC	             3	             0	             0	             0	             0	             0	             0
	259768	Dispenser gun CF DS-1	0001		3000	PC	             2	             0	             0	             0	             0	             0	             0
	260368	Impact anchor HPS-1 1/4"x1"	0001		3000	PC	         1.000	             0	             0	             0	             0	             0	             0
	261990	Air filter DSH	0002		3000	PC	             7	             0	             0	             0	             0	             0	             0
	263437	Holder TE-C	0001		8750	PC	            15	             0	             0	             0	             0	             0	             0
	263439	Holder TE-Y	0001		8750	PC	             4	             0	             0	             0	             0	             0	             0
	267720	Dust extr. hood (slitting) DC-EX 1	0001		3000	PC	             1	             0	             0	             0	             0	             0	             0
	271953	Rotary hammer TE 2 220V case	0001		8750	PC	             0	             0	            20	             0	             0	             0	             0
	271969	Threaded stud X-EW6H-28-9FP8	0001		3000	PC	         4.500	             0	             0	             0	             0	             0	             0
	271969	Threaded stud X-EW6H-28-9FP8	0001		3002	PC	           200	             0	             0	             0	             0	             0	             0
	271969	Threaded stud X-EW6H-28-9FP8	0001		3010	PC	           100	             0	             0	             0	             0	             0	             0
	271969	Threaded stud X-EW6H-28-9FP8	0001		3014	PC	           200	             0	             0	             0	             0	             0	             0
	271969	Threaded stud X-EW6H-28-9FP8	0001		3016	PC	           600	             0	             0	             0	             0	             0	             0
	271969	Threaded stud X-EW6H-28-9FP8	0001		3018	PC	           200	             0	             0	             0	             0	             0	             0
