13.09.2024                                                                 Dynamic List Display                                                                                                                           1


	POrg	Plnt	SLoc	Material	Type	Doc. Date	Supplier	Pur. Doc.	Quantity	OUn	Quantity	SKU	PGr	     Net Price	Crcy	    Per	  To be del.	       To be del.	  To be inv.	       To be inv.
	8300	8330	0001	2203491	NB	13.09.2024	9999       HILTI	4537360345	     12	M	     12	M	L11	        48,84	USD	     1	         12	          586,08	          0	            0,00
	8300	8330	0001	2203495	NB	13.09.2024	9999       HILTI	4537360346	     12	M	     12	M	L11	        95,87	USD	     1	         12	        1.150,44	          0	            0,00
	8300	8330	0001	2203504	NB	13.09.2024	9999       HILTI	4537360347	     20	PC	     20	PC	L11	         5,10	USD	     1	         20	          102,00	          0	            0,00
	8300	8330	0001	2203523	NB	13.09.2024	9999       HILTI	4537360349	     15	PC	     15	PC	L11	        80,45	USD	     1	         15	        1.206,75	          0	            0,00
	8300	8330	0001	2205246	NB	13.09.2024	9999       HILTI	4537360350	     40	PC	     40	PC	L11	         8,09	USD	    10	         40	           32,36	          0	            0,00
	8300	8330	0001	2205246	NB	13.09.2024	9999       HILTI	4537360351	     40	PC	     40	PC	L11	         8,09	USD	    10	         40	           32,36	          0	            0,00
	8300	8330	0001	2208751	NB	13.09.2024	9999       HILTI	4537360352	    200	PC	    200	PC	L11	         7,34	USD	    10	        200	          146,80	          0	            0,00
	8300	8330	0001	2216386	NB	13.09.2024	9999       HILTI	4537360353	     30	PC	     30	PC	L11	        16,19	USD	     1	         30	          485,70	          0	            0,00
	8300	8330	0001	2216412	NB	13.09.2024	9999       HILTI	4537360354	     10	PC	     10	PC	L11	        13,05	USD	     1	         10	          130,50	          0	            0,00
	8300	8330	0001	2238428	NB	13.09.2024	9999       HILTI	4537360355	     15	PC	     15	PC	L11	        33,71	USD	     1	         15	          505,65	          0	            0,00
	8300	8330	0001	2256818	NB	13.09.2024	9999       HILTI	4537360356	     20	PC	     20	PC	L11	        30,15	USD	    10	         20	           60,30	          0	            0,00
	8300	8330	0001	2203523	NB	13.09.2024	9999       HILTI	4537360358	     33	PC	     33	PC	L11	        80,45	USD	     1	         33	        2.654,85	          0	            0,00
	8300	8330	0001	2203546	NB	13.09.2024	9999       HILTI	4537360359	    206	PC	    206	PC	L11	        31,47	USD	   100	        206	           64,83	          0	            0,00
	8300	8330	0001	2205247	NB	13.09.2024	9999       HILTI	4537360360	     38	PC	     38	PC	L11	        22,17	USD	   100	         38	            8,42	          0	            0,00
	8300	8330	0001	2205247	NB	13.09.2024	9999       HILTI	4537360361	     38	PC	     38	PC	L11	        22,17	USD	   100	         38	            8,42	          0	            0,00
	8300	8330	0001	2205602	NB	13.09.2024	9999       HILTI	4537360362	     45	M	     45	M	L11	         8,10	USD	     1	         45	          364,50	          0	            0,00
	8300	8330	0001	2205602	NB	13.09.2024	9999       HILTI	4537360363	     45	M	     45	M	L11	         8,10	USD	     1	         45	          364,50	          0	            0,00
	8300	8330	0001	2216386	NB	13.09.2024	9999       HILTI	4537360364	     89	PC	     89	PC	L11	        16,19	USD	     1	         89	        1.440,91	          0	            0,00
	8300	8330	0001	2237067	NB	13.09.2024	9999       HILTI	4537360365	     10	PC	     10	PC	L11	         7,22	USD	   100	         10	            0,72	          0	            0,00
